date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:50:37	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-5cb1bee270462%22	https://mohammadyasociados.ar/robots.txt		(from )
10:50:37	21432/21432	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Jun%202022%2013:50:38%20GMT	https://mohammadyasociados.ar/	C:/My%20Web%20Sites/mohammed/mohammadyasociados.ar/index.html	(from )
10:50:38	15406/15406	---M--	200	added ('OK')	image/x-icon	etag:%223c2e-5cb1bee1a2782%22	https://mohammadyasociados.ar/favicon.ico	C:/My%20Web%20Sites/mohammed/mohammadyasociados.ar/favicon.ico	(from https://mohammadyasociados.ar/)
10:50:38	205163/205163	---M-Z	200	added ('OK')	text/css	etag:%223216b-5cb1beed44e70-gzip%22	https://mohammadyasociados.ar/css/site.css	C:/My%20Web%20Sites/mohammed/mohammadyasociados.ar/css/site.css	(from https://mohammadyasociados.ar/)
10:50:39	65696/65696	---M-Z	200	added ('OK')	text/css	etag:W/%22100a0-GGXd3Lt7Z9zvQlDlkMyalXSrpnM%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.5.0/font/bootstrap-icons.css	C:/My%20Web%20Sites/mohammed/cdn.jsdelivr.net/npm/bootstrap-icons@1.5.0/font/bootstrap-icons.css	(from https://mohammadyasociados.ar/)
10:50:53	276810/276810	---MCZ	200	added ('OK')	application/javascript	etag:%224394a-5cb1bef8a79dd-gzip%22	https://mohammadyasociados.ar/js/app.js	C:/My%20Web%20Sites/mohammed/mohammadyasociados.ar/js/app.js	(from https://mohammadyasociados.ar/)
10:50:54	35614/35614	---M--	200	added ('OK')	image/svg+xml	etag:%228b1e-5cb1bef5b82c2%22	https://mohammadyasociados.ar/images/logo.svg	C:/My%20Web%20Sites/mohammed/mohammadyasociados.ar/images/logo.svg	(from https://mohammadyasociados.ar/)
10:50:54	4669/4669	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Jun%202022%2013:50:55%20GMT	https://mohammadyasociados.ar/login	C:/My%20Web%20Sites/mohammed/mohammadyasociados.ar/login.html	(from https://mohammadyasociados.ar/)
10:50:56	76102/76102	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Jun%202022%2013:50:55%20GMT	https://mohammadyasociados.ar/register	C:/My%20Web%20Sites/mohammed/mohammadyasociados.ar/register.html	(from https://mohammadyasociados.ar/)
10:50:56	91647/91647	---M--	200	added ('OK')	image/jpeg	etag:%22165ff-5cb1bf03d8488%22	https://mohammadyasociados.ar/images/equipo/rocio-mohammad.jpg	C:/My%20Web%20Sites/mohammed/mohammadyasociados.ar/images/equipo/rocio-mohammad.jpg	(from https://mohammadyasociados.ar/)
10:50:56	87153/87153	---M--	200	added ('OK')	image/jpeg	etag:%2215471-5cb1befd01997%22	https://mohammadyasociados.ar/images/equipo/pablo-molina.jpg	C:/My%20Web%20Sites/mohammed/mohammadyasociados.ar/images/equipo/pablo-molina.jpg	(from https://mohammadyasociados.ar/)
